candidate_id,rank,score,reasoning
CAND_0000031,1,1.0,"Recommendation Systems Engineer at Swiggy, 6.0yr YOE, Hyderabad, Telangana. Top skills: FAISS, Pinecone, Embeddings. Response rate: 91%, last active 34d ago. Skill=1.000 Career=1.000 Behavioral=0.743 Edu=0.800"
CAND_0002025,2,1.0,"Senior AI Engineer at Apple, 5.9yr YOE, Trivandrum, Kerala. Top skills: FAISS, OpenSearch, Weaviate. Response rate: 80%, last active 32d ago. Skill=1.000 Career=1.000 Behavioral=0.903 Edu=1.000"
CAND_0004402,3,1.0,"AI Research Engineer at Yellow.ai, 6.0yr YOE, Delhi, Delhi. Top skills: OpenSearch, PEFT, Learning to Rank. Response rate: 83%, last active 33d ago. Skill=0.907 Career=1.000 Behavioral=0.831 Edu=1.000"
CAND_0005311,4,1.0,"AI Research Engineer at Aganitha, 5.7yr YOE, Mumbai, Maharashtra. Top skills: LoRA, Semantic Search, Qdrant. Response rate: 29%, last active 52d ago. Skill=0.985 Career=1.000 Behavioral=0.769 Edu=0.950"
CAND_0005649,5,1.0,"Senior Data Scientist at Sarvam AI, 7.4yr YOE, Delhi, Delhi. Top skills: Fine-tuning LLMs, Recommendation Systems, QLoRA. Response rate: 57%, last active 74d ago. Skill=1.000 Career=1.000 Behavioral=0.726 Edu=0.920"
CAND_0006418,6,1.0,"Machine Learning Engineer at Verloop.io, 5.7yr YOE, Gurgaon, Haryana. Top skills: Semantic Search, Embeddings, Weaviate. Response rate: 92%, last active 88d ago. Skill=1.000 Career=1.000 Behavioral=0.805 Edu=1.000"
CAND_0006567,7,1.0,"Senior AI Engineer at Meta, 7.9yr YOE, Noida, Uttar Pradesh. Top skills: Search Backend, BM25, NLP. Response rate: 79%, last active 55d ago. Skill=1.000 Career=1.000 Behavioral=0.760 Edu=1.000"
CAND_0007009,8,1.0,"Recommendation Systems Engineer at Wysa, 7.9yr YOE, Noida, Uttar Pradesh. Top skills: Weaviate, Python, Embeddings. Response rate: 62%, last active 100d ago. Skill=1.000 Career=1.000 Behavioral=0.741 Edu=0.920"
CAND_0007412,9,1.0,"Applied ML Engineer at Zoho, 7.4yr YOE, Noida, Uttar Pradesh. Top skills: Pinecone, Milvus, BM25. Response rate: 76%, last active 69d ago. Skill=1.000 Career=1.000 Behavioral=0.716 Edu=1.000"
CAND_0008425,10,1.0,"Senior NLP Engineer at Ola, 7.8yr YOE, Kolkata, West Bengal. Top skills: Learning to Rank, Qdrant, Sentence Transformers. Response rate: 66%, last active 63d ago. Skill=1.000 Career=1.000 Behavioral=0.837 Edu=1.000"
CAND_0010149,11,1.0,"ML Engineer at Glance, 6.9yr YOE, Bangalore, Karnataka. Top skills: Milvus, Vector Search, Learning to Rank. Response rate: 82%, last active 33d ago. Skill=1.000 Career=1.000 Behavioral=0.895 Edu=1.000"
CAND_0010257,12,1.0,"Senior Data Scientist at Google, 6.5yr YOE, Noida, Uttar Pradesh. Top skills: Milvus, Python, OpenSearch. Response rate: 72%, last active 45d ago. Skill=1.000 Career=1.000 Behavioral=0.774 Edu=0.920"
CAND_0010541,13,1.0,"AI Research Engineer at Wysa, 6.2yr YOE, Hyderabad, Telangana. Top skills: Pinecone, Weaviate, LoRA. Response rate: 59%, last active 111d ago. Skill=1.000 Career=1.000 Behavioral=0.712 Edu=0.874"
